;;E303;;E213;E203;
;;Burghart, Ditzinger;;Burghart, Ditzinger;Burghart, Ditzinger;
11:30-13:00;;Digital-Labor;;Technische Informatik 2;;
;;E201;;E213;;
;;Ditzinger, Link;;Ditzinger;;
14:00-15:30;Autonome Systeme und RA;Digital-Labor;;;;
;E201;E201;;;;
;Burghart, Ditzinger;Ditzinger, Link;;;;
15:40-17:10;;Digital-Labor;;;;
;;E201;;;;
;;Ditzinger, Link;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 Dübon;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;;;;;;
;;;;;;
;;;;;;
09:50-11:20;;;;;;
;;;;;;
;;;;;;
11:30-13:00;;;;;;
;;;;;;
;;;;;;
14:00-15:30;;;;;;
;;;;;;
;;;;;;
15:40-17:10;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 Fuchß;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;SW-Engineering;SW-Engineering;;Spez. Kap. Software Engineering;;
;LI141;LI141;;E213;;
;Fuchß;Fuchß;;Fuchß;;
09:50-11:20;SW-Engineering;SW-Engineering;Systemnah. Progr.;Mobile Systeme;;
;LI141;LI141;LI137;E303;;
;Fuchß;Fuchß;Fuchß;Fuchß;;
11:30-13:00;SW-Engineering;SW-Engineering;;Systemnah. Progr.;;
;LI141;LI141;;LI136;;
;Fuchß;Fuchß;;Fuchß;;
14:00-15:30;SW-Engineering;SW-Engineering;;Systemnah. Progr.;;
;LI141;LI141;;LI136;;
;Fuchß;Fuchß;;Fuchß;;
15:40-17:10;Systemnah. Progr.;Systemnah. Progr.;Systemnah. Progr.;;;
;LI141;LI008;LI136;;;
;Fuchß;Fuchß;Fuchß;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 Gmeiner;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;;;;;DB1 und K-Netze1;
;;;;;E305;
;;;;;Gmeiner, Steiniger;
09:50-11:20;;DB1 und K-Netze1;;DB1 und K-Netze1;;
;;E302;;E302;;
;;Gmeiner, Steiniger;;Gmeiner, Steiniger;;
11:30-13:00;;DB1 und K-Netze1;;;;
;;E305;;;;
;;Gmeiner, Steiniger;;;;
14:00-15:30;;;DB1 und K-Netze1;DB1 und K-Netze1;;
;;;E203;E201;;
;;;Gmeiner, Steiniger;Gmeiner, Steiniger;;
15:40-17:10;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 Graf;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;;;;;;
;;;;;;
;;;;;;
09:50-11:20;;;;;;
;;;;;;
;;;;;;
11:30-13:00;;;;;;
;;;;;;
;;;;;;
14:00-15:30;;;;;;
;;;;;;
;;;;;;
15:40-17:10;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 Gremminger;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;;;Verteilte Informationssysteme Labor;Verteilte Informationssysteme Labor;Verteilte Informationssysteme;
;;;LI008;LI137;E201;
;;;Gremminger;Gremminger;Gremminger;
09:50-11:20;Labor Verteilte Systeme;;Verteilte Informationssysteme;;;
;E303;;E304;;;
;Gremminger;;Gremminger;;;
11:30-13:00;;;;;;
;;;;;;
;;;;;;
14:00-15:30;;;;;Verteilte Informationssysteme;
;;;;;E201;
;;;;;Gremminger;
15:40-17:10;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 Haneke;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;;;;BWL;BWL;
;;;;E305;E213;
;;;;Haneke;Haneke;
09:50-11:20;;;;;;
;;;;;;
;;;;;;
11:30-13:00;;Geschäftsprozesse;;BWL;IT Projektmanagement;
;;E301;;E302;E305;
;;Haneke;;Haneke;Haneke;
14:00-15:30;;;;;BWL;
;;;;;E302;
;;;;;Haneke;
15:40-17:10;Projektmanagement;Business Intelligence;;;;
;E301;E203;;;;
;Haneke;Haneke;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 Heberle;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;;;;;;
;;;;;;
;;;;;;
09:50-11:20;;;;;;
;;;;;;
;;;;;;
11:30-13:00;;;;;;
;;;;;;
;;;;;;
14:00-15:30;;;;;;
;;;;;;
;;;;;;
15:40-17:10;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 Henning;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;;;;Visualization and Semantics;;
;;;;E201;;
;;;;Henning;;
09:50-11:20;;Gameprogramming;Visualization and Semantics Lab;;;
;;E305;LI141;;;
;;Henning;Henning;;;
11:30-13:00;Multimedia;;;;;
;E213;;;;;
;Henning;;;;;
14:00-15:30;;Computergrafik;;;;
;;E213;;;;
;;Henning;;;;
15:40-17:10;Computergrafik;;;;;
;E213;;;;;
;Henning;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 Hoffmann;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;Technische Informatik 1 Übung;Embedded Software;;Technische Informatik 1;;
;E203;E201;;E203;;
;Hoffmann, Sutterer;Hoffmann;;Hoffmann, Sutterer;;
09:50-11:20;;Technische Informatik 1;;Embedded Labor;Technische Informatik 1 Übung;
;;E213;;LI137;E302;
;;Hoffmann, Sutterer;;Hoffmann;Hoffmann, Sutterer;
11:30-13:00;Technische Informatik 1;;;Embedded Labor;;
;E303;;;LI137;;
;Hoffmann, Sutterer;;;Hoffmann;;
14:00-15:30;Qualitätssicherung;;;Technische Informatik 1;Datenrepräsentation und -übertragung;
;E305;;;E304;E301;
;Hoffmann;;;Hoffmann, Sutterer;Hoffmann;
15:40-17:10;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 Hofmann;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;;;;;;
;;;;;;
;;;;;;
09:50-11:20;;;;;;
;;;;;;
;;;;;;
11:30-13:00;;;;;;
;;;;;;
;;;;;;
14:00-15:30;;;;;;
;;;;;;
;;;;;;
15:40-17:10;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 Hüttel;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;;Führungskräftetraining;;;;
;;E305;;;;
;;Hüttel;;;;
09:50-11:20;;;;;;
;;;;;;
;;;;;;
11:30-13:00;;;;;;
;;;;;;
;;;;;;
14:00-15:30;;;;;;
;;;;;;
;;;;;;
15:40-17:10;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 Körner;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;Praxisvorbereitung;;Theoretische Informatik 1;Praxisvorbereitung;;
;E302;;E201;E304;;
;Körner, Thielemann;;Körner;Körner, Thielemann;;
09:50-11:20;Praxisvorbereitung;Sprachen und Metasprachen;;Praxisvorbereitung;;
;E302;E203;;E304;;
;Körner, Thielemann;Körner;;Körner, Thielemann;;
11:30-13:00;Praxisvorbereitung;;;Praxisvorbereitung;;
;E302;;;E304;;
;Körner, Thielemann;;;Körner, Thielemann;;
14:00-15:30;Theoretische Informatik 1;Algorithmenentwurf;Theoretische Informatik 1;;;
;E304;E303;E304;;;
;Körner;Körner;Körner;;;
15:40-17:10;;;;Theoretische Informatik 1;;
;;;;E213;;
;;;;Körner;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 Laubenheimer;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;Data Mining;;;Mathematik 2 Labor;;
;E201;;;E303;;
;Laubenheimer;;;Laubenheimer;;
09:50-11:20;;;Labor Bildverarbeitung;;;
;;;E303;;;
;;;Laubenheimer;;;
11:30-13:00;;;;;Mathematik 2;
;;;;;E303;
;;;;;Laubenheimer;
14:00-15:30;Computer Vision;;;;;
;E301;;;;;
;Laubenheimer;;;;;
15:40-17:10;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 Link;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;;;Intelligente Systeme;;;
;;;E213;;;
;;;Link;;;
09:50-11:20;Labor Autonome Systeme;;;;;
;LI137;;;;;
;Link;;;;;
11:30-13:00;;Digital-Labor;;;;
;;E201;;;;
;;Ditzinger, Link;;;;
14:00-15:30;;Digital-Labor;;;;
;;E201;;;;
;;Ditzinger, Link;;;;
15:40-17:10;;Digital-Labor;;;;
;;E201;;;;
;;Ditzinger, Link;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 Martin;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;;;;;;
;;;;;;
;;;;;;
09:50-11:20;;;;;;
;;;;;;
;;;;;;
11:30-13:00;;;;;;
;;;;;;
;;;;;;
14:00-15:30;;;;;;
;;;;;;
;;;;;;
15:40-17:10;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 Meisel;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;;;;;;
;;;;;;
;;;;;;
09:50-11:20;;;;;;
;;;;;;
;;;;;;
11:30-13:00;;;;;;
;;;;;;
;;;;;;
14:00-15:30;;;;;;
;;;;;;
;;;;;;
15:40-17:10;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 Morgenstern;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;;;;;;
;;;;;;
;;;;;;
09:50-11:20;;Praxisnachbereitung;;;;
;;E201;;;;
;;Morgenstern;;;;
11:30-13:00;;;;;;
;;;;;;
;;;;;;
14:00-15:30;;;;;;
;;;;;;
;;;;;;
15:40-17:10;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 Müller;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;;;;;;
;;;;;;
;;;;;;
09:50-11:20;;;;;;
;;;;;;
;;;;;;
11:30-13:00;;;;;;
;;;;;;
;;;;;;
14:00-15:30;;;;;;
;;;;;;
;;;;;;
15:40-17:10;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 Nees;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;;;;;;
;;;;;;
;;;;;;
09:50-11:20;;;;;;
;;;;;;
;;;;;;
11:30-13:00;;;;;;
;;;;;;
;;;;;;
14:00-15:30;;;;;;
;;;;;;
;;;;;;
15:40-17:10;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 Nestler;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;;;;;;
;;;;;;
;;;;;;
09:50-11:20;;;;High Performance Computing;High Performance Computing;
;;;;E301;E301;
;;;;Nestler;Nestler;
11:30-13:00;;;;High Performance Computing;High Performance Computing;
;;;;E301;E301;
;;;;Nestler;Nestler;
14:00-15:30;;Modellierung und Simulation;;;;
;;E203;;;;
;;Nestler;;;;
15:40-17:10;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 Neumann;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;;;;;;
;;;;;;
;;;;;;
09:50-11:20;;;;;;
;;;;;;
;;;;;;
11:30-13:00;;;;;;
;;;;;;
;;;;;;
14:00-15:30;;;;;;
;;;;;;
;;;;;;
15:40-17:10;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 Pape;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;;;;;Informatik 1;
;;;;;E203;
;;;;;Pape;
09:50-11:20;Informatik 1;;;Informatik 1 Übung;;
;E203;;;LI141;;
;Pape;;;Pape;;
11:30-13:00;Informatik 1 Übung;Informatik 1;;;Algorithmen Übung;
;LI008;E303;;;E304;
;Pape;Pape;;;Pape;
14:00-15:30;;Informatik 1;;;Web-Programming;
;;E301;;;E213;
;;Pape;;;Pape;
15:40-17:10;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 Philipp;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;;ERP-Labor;ERP-Systeme;ERP-Systeme;;
;;E303;E203;E301;;
;;Philipp;Philipp;Philipp;;
09:50-11:20;;;ERP-Systeme;;IT-Consulting;
;;;E213;;E213;
;;;Philipp;;Philipp;
11:30-13:00;;IT Service Management;;;ERP-Systeme;
;;E203;;;E302;
;;Philipp;;;Philipp;
14:00-15:30;;;;;;
;;;;;;
;;;;;;
15:40-17:10;;;;;ERP-Labor;
;;;;;E302;
;;;;;Philipp;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 Regier;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;;;;;;
;;;;;;
;;;;;;
09:50-11:20;;;;;;
;;;;;;
;;;;;;
11:30-13:00;;;;;;
;;;;;;
;;;;;;
14:00-15:30;;;;;;
;;;;;;
