IB1a;Monday;Tuesday;Wednesday;Thursday;Friday;;
;E213;E305;LI136;;;;
;Hoffmann;Vogelsang;Link;;;;
09:50-11:20;High Performance Computing;Projektmanagement;;High Performance Computing;Multimedia;;
;E304;E305;;E305;E302;;
;Nestler;Haneke;;Nestler;Henning;;
11:30-13:00;High Performance Computing;;;High Performance Computing;;;
;E304;;;E305;;;
;Nestler;;;Nestler;;;
14:00-15:30;;;;;;;
;;;;;;;
;;;;;;;
15:40-17:10;;;;;;;
;;;;;;;
;;;;;;;
17:20-18:50;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
IM1;Monday;Tuesday;Wednesday;Thursday;Friday;;
08:00-09:30;;Führungskräftetraining;;Modellierung und Simulation;Visualization and Semantics Lab;;
;;E303;;E203;LI141;;
;;Hüttel;;Nestler;Henning;;
09:50-11:20;Mobile Systeme;;Verteilte Informationssysteme;Intelligente Systeme;Datenrepräsentation und -übertragung;;
;E203;;E301;E302;E203;;
;Fuchß;;Gremminger;Link;Hoffmann;;
11:30-13:00;IT Service Management;Visualization and Semantics;;;Projektarbeit1;;
;E203;E213;;;E203;;
;Philipp;Henning;;;Alle Professoren;;
14:00-15:30;;IT Projektmanagement;;;Projektarbeit1;;
;;E302;;;E203;;
;;Haneke;;;Alle Professoren;;
15:40-17:10;;;;;Projektarbeit1;;
;;;;;E203;;
;;;;;Alle Professoren;;
17:20-18:50;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
IM2;Monday;Tuesday;Wednesday;Thursday;Friday;;
08:00-09:30;Algorithmenentwurf;Data Mining;Dialog Systems;;Labor Verteilte Systeme;;
;E304;E203;E203;;E304;;
;Körner;Laubenheimer;Bröckl;;Gremminger;;
09:50-11:20;Projektarbeit2;;Algorithmen Übung;;;;
;E303;;E304;;;;
;Alle Professoren;;Pape;;;;
11:30-13:00;Projektarbeit2;;;;Labor Benutzeroberflächen;;
;E303;;;;E301;;
;Alle Professoren;;;;Vogelsang;;
14:00-15:30;Seminar;;;Angewandte Kryptografie;IT-Sicherheit;;
;E305;;;E305;E213;;
;Alle Professoren;;;Schaefer;Schaefer;;
15:40-17:10;;;;;;;
;;;;;;;
;;;;;;;
17:20-18:50;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
 Alle Professoren;Monday;Tuesday;Wednesday;Thursday;Friday;;
08:00-09:30;;;;;;;
;;;;;;;
;;;;;;;
09:50-11:20;Projektarbeit2;;;;;;
;E303;;;;;;
;Alle Professoren;;;;;;
11:30-13:00;Projektarbeit2;Seminar;;;Projektarbeit1;;
;E303;E301;;;E203;;
;Alle Professoren;Alle Professoren;;;Alle Professoren;;
14:00-15:30;Seminar;;;;Projektarbeit1;;
;E305;;;;E203;;
;Alle Professoren;;;;Alle Professoren;;
15:40-17:10;;;;;Projektarbeit1;;
;;;;;E203;;
;;;;;Alle Professoren;;
17:20-18:50;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
 ;Monday;Tuesday;Wednesday;Thursday;Friday;;
08:00-09:30;;;;;;;
;;;;;;;
;;;;;;;
09:50-11:20;;;;Fremdsprachen;;;
;;;;E203;;;
;;;;;;;
11:30-13:00;;Fremdsprachen;;Softwarelabor;;;
;;E304;;E304;;;
;;;;;;;
14:00-15:30;;Softwarelabor;;Softwarelabor;;;
;;E213;;E304;;;
;;;;;;;
15:40-17:10;;Softwarelabor;;;;;
;;E213;;;;;
;;;;;;;
17:20-18:50;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
 !!Noch nicht angelegt;Monday;Tuesday;Wednesday;Thursday;Friday;;
08:00-09:30;;;;;;;
;;;;;;;
;;;;;;;
09:50-11:20;;;;;;;
;;;;;;;
;;;;;;;
11:30-13:00;;;;;;;
;;;;;;;
;;;;;;;
14:00-15:30;;;;;;;
;;;;;;;
;;;;;;;
15:40-17:10;;;;;;;
;;;;;;;
;;;;;;;
17:20-18:50;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
 Bröckl;Monday;Tuesday;Wednesday;Thursday;Friday;;
08:00-09:30;;;Dialog Systems;;;;
;;;E203;;;;
;;;Bröckl;;;;
09:50-11:20;;;;;;;
;;;;;;;
;;;;;;;
11:30-13:00;;;;;;;
;;;;;;;
;;;;;;;
14:00-15:30;;;;;;;
;;;;;;;
;;;;;;;
15:40-17:10;;;;;;;
;;;;;;;
;;;;;;;
17:20-18:50;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
 Ditzinger;Monday;Tuesday;Wednesday;Thursday;Friday;;
08:00-09:30;Autonome Systeme und RA;;;;Autonome Systeme und RA;;
;E302;;;;E305;;
;Burghart, Ditzinger;;;;Burghart, Ditzinger;;
09:50-11:20;;Autonome Systeme und RA;Technische Informatik 2;;Autonome Systeme und RA;;
;;E203;E201;;E305;;
;;Burghart, Ditzinger;Ditzinger;;Burghart, Ditzinger;;
11:30-13:00;Digital-Labor;Technische Informatik 2;;;;;
;E301;E303;;;;;
;Ditzinger, Link;Ditzinger;;;;;
14:00-15:30;Digital-Labor;;;;;;
;E301;;;;;;
;Ditzinger, Link;;;;;;
15:40-17:10;Digital-Labor;;;;;;
;E301;;;;;;
;Ditzinger, Link;;;;;;
17:20-18:50;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
 Dübon;Monday;Tuesday;Wednesday;Thursday;Friday;;
08:00-09:30;;;;;;;
;;;;;;;
;;;;;;;
09:50-11:20;;;;;;;
;;;;;;;
;;;;;;;
11:30-13:00;;;;;;;
;;;;;;;
;;;;;;;
14:00-15:30;;;;;;;
;;;;;;;
;;;;;;;
15:40-17:10;;;;;;;
;;;;;;;
;;;;;;;
17:20-18:50;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
 Fuchß;Monday;Tuesday;Wednesday;Thursday;Friday;;
08:00-09:30;;Spez. Kap. Software Engineering;;Systemnah. Progr.;;;
;;E304;;LI137;;;
;;Fuchß;;Fuchß;;;
09:50-11:20;Mobile Systeme;Systemnah. Progr.;Systemnah. Progr.;SW-Engineering;;;
;E203;LI141;LI141;LI141;;;
;Fuchß;Fuchß;Fuchß;Fuchß;;;
11:30-13:00;Systemnah. Progr.;SW-Engineering;;SW-Engineering;;;
;LI137;LI137;;LI141;;;
;Fuchß;Fuchß;;Fuchß;;;
14:00-15:30;Systemnah. Progr.;SW-Engineering;;SW-Engineering;;;
;LI141;LI137;;LI141;;;
;Fuchß;Fuchß;;Fuchß;;;
15:40-17:10;;SW-Engineering;Systemnah. Progr.;SW-Engineering;;;
;;LI137;LI141;LI141;;;
;;Fuchß;Fuchß;Fuchß;;;
17:20-18:50;;SW-Engineering;;;;;
;;LI137;;;;;
;;Fuchß;;;;;
;;;;;;;
;;;;;;;
 Gmeiner;Monday;Tuesday;Wednesday;Thursday;Friday;;
08:00-09:30;;DB1 und K-Netze1;;DB1 und K-Netze1;;;
;;E301;;E303;;;
;;Gmeiner, Steiniger;;Gmeiner, Steiniger;;;
09:50-11:20;;;;DB1 und K-Netze1;;;
;;;;E301;;;
;;;;Gmeiner, Steiniger;;;
11:30-13:00;DB1 und K-Netze1;;;;;;
;E302;;;;;;
;Gmeiner, Steiniger;;;;;;
14:00-15:30;;;DB1 und K-Netze1;;;;
;;;E305;;;;
;;;Gmeiner, Steiniger;;;;
15:40-17:10;;;;;;;
;;;;;;;
;;;;;;;
17:20-18:50;;;DB1 und K-Netze1;;;;
;;;E303;;;;
;;;Gmeiner, Steiniger;;;;
;;;;;;;
;;;;;;;
 Graf;Monday;Tuesday;Wednesday;Thursday;Friday;;
08:00-09:30;;;;;;;
;;;;;;;
;;;;;;;
09:50-11:20;;;;;;;
;;;;;;;
;;;;;;;
11:30-13:00;;;;;;;
;;;;;;;
;;;;;;;
14:00-15:30;;;;;;;
;;;;;;;
;;;;;;;
15:40-17:10;;;;;;;
;;;;;;;
;;;;;;;
17:20-18:50;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
